책제목,저자,가격,이미지,책_상세_주소
개발자를 위한 파이썬,윤웅식 ,"18,000",https://www.hanbit.co.kr/data/books/B7329046703_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7329046703
스프링4 입문,"하세가와 유이치 , 오오노 와타루 , 토키 코헤이 ","27,000",https://www.hanbit.co.kr/data/books/B9146679987_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9146679987
처음 만나는 Vulkan,파르민더 싱 ,"28,800",https://www.hanbit.co.kr/data/books/B9036855727_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9036855727
파이썬 데이터 분석 입문,클린턴 브라운리 ,"24,300",https://www.hanbit.co.kr/data/books/B9202482281_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9202482281
MOS 2016 워드 Expert,"김경희 , 오해강 ","14,000",https://www.hanbit.co.kr/data/books/B8780433662_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8780433662
처음 배우는 머신러닝,"김승연 , 정용주 ","23,400",https://www.hanbit.co.kr/data/books/B8660115730_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8660115730
골빈해커의 3분 딥러닝,김진중(골빈해커) ,"19,800",https://www.hanbit.co.kr/data/books/B7257101308_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7257101308
MOS 2016 엑셀 Expert,"김경희 , 오해강 ","14,000",https://www.hanbit.co.kr/data/books/B9464832573_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9464832573
MOS 2016 파워포인트,"김경희 , 오해강 ","14,000",https://www.hanbit.co.kr/data/books/B9739926123_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9739926123
4차 산업혁명 시대의 경영정보시스템,이동훈 ,"28,000",https://www.hanbit.co.kr/data/books/B9196229750_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9196229750
인프라 엔지니어링 첫걸음,"데라오 에사쿠 , 나카무라 도모나리 , 하타노 아이 , 요코타 마사토시 , JPCERT CC ","19,800",https://www.hanbit.co.kr/data/books/B8967937297_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8967937297
자바스크립트 프로젝트북,권대용 ,"25,200",https://www.hanbit.co.kr/data/books/B8907454397_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8907454397
창의적인 문제 해결 능력을 키워주는 IT 퍼즐,"김종훈 , 김병수 , 김태훈 , 양영훈 , 오정철 , 현동림 ","16,200",https://www.hanbit.co.kr/data/books/B9031443562_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9031443562
함수형 반응형 프로그래밍,"스티븐 블랙히스 , 앤서니 존스 ","29,700",https://www.hanbit.co.kr/data/books/B3673113778_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3673113778
"IT CookBook, 차세대 웹 프로그래밍",홍성용 ,"26,000",https://www.hanbit.co.kr/data/books/B8304303948_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8304303948
"IT CookBook, 유닉스 시스템 프로그래밍",이종원 ,"25,000",https://www.hanbit.co.kr/data/books/B1514465563_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1514465563
실무에서 바로 통하는 자바,"다케다 하루키 , 와타나베 유지 , 사토 다이치 , 다다 다케아키 , 가미카와 노부히코 ","25,200",https://www.hanbit.co.kr/data/books/B9334713773_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B9334713773
"IT CookBook, 인터넷 해킹과 보안 개정3판",김경곤 ,"25,000",https://www.hanbit.co.kr/data/books/B2924064192_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2924064192
최대 성능을 위한 유니티 5 게임 프로그래밍 최적화,크리스 디킨슨 ,"15,300",https://www.hanbit.co.kr/data/ebook/E5677916900_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E5677916900
"IT CookBook, MFC 윈도우 프로그래밍",강경우 ,"27,000",https://www.hanbit.co.kr/data/books/B4952117452_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4952117452
앵귤러 첫걸음,조우진 ,"25,200",https://www.hanbit.co.kr/data/books/B3348481708_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3348481708
처음 배우는 인공지능,다다 사토시 ,"25,200",https://www.hanbit.co.kr/data/books/B1908490055_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1908490055
오픈소스 도구를 활용한 웹 모의해킹과 침해대응,"석동현 , 김경원 , 양민철 , 조정원 , 박승우 , 김승록 ","14,400",https://www.hanbit.co.kr/data/ebook/E9859656242_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9859656242
DirectX 12를 이용한 3D 게임 프로그래밍 입문,프랭크 D. 루나 ,"45,000",https://www.hanbit.co.kr/data/books/B5088646371_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5088646371
비즈니스 블록체인,윌리엄 무가야 ,"14,400",https://www.hanbit.co.kr/data/books/B8632971385_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8632971385
NDC ART BOOK 2017,2017년 넥슨 개발자 콘퍼런스 아트 전시회 참여 작가 ,"18,000",https://www.hanbit.co.kr/data/books/B7070565129_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7070565129
POCO를 이용한 C++ 네트워크 프로그래밍,최흥배 ,"10,800",https://www.hanbit.co.kr/data/ebook/E2635062247_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E2635062247
객체지향 소프트웨어 공학,최은만 ,"29,000",https://www.hanbit.co.kr/data/books/B8800508513_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8800508513
"가상현실 이론부터 모바일, PC, 웹 개발까지 VR 첫걸음",토니 파리시 ,"13,500",https://www.hanbit.co.kr/data/ebook/E9500938354_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E9500938354
신경망 첫걸음,타리크 라시드 ,"22,500",https://www.hanbit.co.kr/data/books/B1910379076_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B1910379076
Hello Coding 그림으로 개념을 이해하는 알고리즘,아디트야 바르가바 ,"19,800",https://www.hanbit.co.kr/data/books/B5896248244_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B5896248244
리버스 엔지니어링 2권(디버거 편),이호동 ,"63,000",https://www.hanbit.co.kr/data/books/B7638826095_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7638826095
마이크로서비스 아키텍처 구축,샘 뉴먼 ,"23,400",https://www.hanbit.co.kr/data/books/B8584207882_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8584207882
하둡 완벽 가이드(4판),톰 화이트 ,"49,500",https://www.hanbit.co.kr/data/books/B6473892834_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6473892834
C#과 데이터베이스로 누구나 쉽게 주식 자동매매 시스템 만들기,이경오 ,"14,400",https://www.hanbit.co.kr/data/ebook/E1054933296_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E1054933296
러스트 핵심 노트,이보 발바르트 ,"14,400",https://www.hanbit.co.kr/data/ebook/E2088508957_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=E2088508957
만들면서 배우는 스파인 2D 게임 애니메이션,이동연 ,"22,500",https://www.hanbit.co.kr/data/books/B7080385283_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7080385283
밑바닥부터 시작하는 딥러닝,사이토 고키 ,"21,600",https://www.hanbit.co.kr/data/books/B8475831198_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B8475831198
"IT CookBook, 비주얼 베이직 2015 for Beginner",임관철 ,"24,000",https://www.hanbit.co.kr/data/books/B7031689061_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B7031689061
딥러닝 첫걸음,김성필 ,"16,200",https://www.hanbit.co.kr/data/books/B4370590649_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B4370590649
"IT CookBook, 네트워크 해킹과 보안 개정3판 : 정보 보안 개론과 실습",양대일 ,"26,000",https://www.hanbit.co.kr/data/books/B2228799661_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2228799661
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크 (개정판)",박기현 ,"27,000",https://www.hanbit.co.kr/data/books/B3980824801_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B3980824801
그레이들 레시피,켄 커즌 ,"16,200",https://www.hanbit.co.kr/data/books/B2946120311_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B2946120311
행복한 프로그래밍(개정판),임백준 ,"14,400",https://www.hanbit.co.kr/data/books/B6361233715_m.jpg,https://www.hanbit.co.kr/store/books/look.php?p_code=B6361233715
